claim,label
The unicorn is the national animal of Scotland.,False
Studies prove that wearing jeans causes infertility.,False
Saturn's atmosphere is mostly hydrogen and helium.,True
Analysis finds that listening to classical music causes hearing loss.,False
Drinking eight glasses of water a day is necessary for everyone to stay healthy.,False
Analysis finds that wireless headphones emit harmful radiation.,False
Research indicates that talking to plants makes them die.,False
Standing does use more energy than sitting.,True
Experts warn that wearing jeans causes infertility.,False
Leafcutter ants farm fungus for food.,True
Studies prove that eating bananas daily causes allergies.,False
Spinning your head around in circles 100 times will make you levitate.,False
Studies prove that typing on glass keyboards leads to carpal tunnel.,False
An octopus has three hearts.,True
Wearing socks to bed does not improve your sleep quality.,True
Experts warn that wireless headphones emit harmful radiation.,False
Scientists claim that walking backwards burns more calories.,False
Eating fish oil supplements does not always improve memory and cognition.,False
Studies prove that eating carrots causes diabetes.,False
Recharging a smartphone with a microwave will destroy it.,True
Research indicates that electric cars increase air pollution.,False
Analysis finds that sleeping on the floor improves memory.,False
The Baltic Sea is saltier than the Atlantic Ocean.,False
Mercury is visible to the naked eye from Earth.,True
Conversations on the moon are audible to naked ears on Earth.,False
Scientists claim that sleeping on the floor improves memory.,False
Experts warn that electric cars increase air pollution.,False
Photosynthesis in plants produces oxygen as a byproduct.,True
Mercury is the hottest planet in our solar system.,False
Scientists claim that typing on glass keyboards leads to carpal tunnel.,False
A group of jellyfish is called a smack.,True
Atmospheric pressure decreases as altitude increases.,True
Experts warn that eating spicy food causes weight gain.,False
Research indicates that eating bananas daily causes allergies.,False
The Pyramids of Giza were built to bury Egyptian pharaohs.,True
Experts warn that sleeping on the floor improves memory.,False
A group of crows is called a murder.,True
"For birds, torpor can reduce metabolic rate substantially.",True
NASA did not lie about the Apollo moon landings.,True
Studies prove that holding your breath for 5 minutes increases IQ.,False
Gold is a metal with the symbol Au.,True
Analysis finds that consuming artificial sweeteners causes liver disease.,False
Deleting a file from the recycle bin makes it impossible to recover.,False
The chemical element Helium was first discovered on the Sun.,True
The Earth has one moon called Luna.,True
Eggs can be safely stored at room temperature for weeks.,False
Electric cars produce more environmental damage due to battery production.,False
Penguins are birds that can fly.,False
A leap day occurs every 4 years.,True
Scientists claim that eating bananas daily causes allergies.,False
The Earth orbits the Sun once every year.,True
Spaceships orbiting Earth see 16 sunrises and sunsets in one day.,True
Sound travels faster in water than in air.,True
Analysis finds that eating spicy food causes weight gain.,False
Studies prove that using fluorescent lights at night causes insomnia.,False
"Alaska has the westernmost, northernmost, and easternmost points in the United States.",True
Mercury is the closest planet to the Sun.,True
"Chemistry is the study of mind, brain, and behavior.",False
Yawning is contagious among humans.,True
"Goldfish grow to the size of their tank, not remain small.",True
The telephone was patented by Alexander Graham Bell.,True
The entire country of the Netherlands is below sea level.,False
Magnetic fields can cause compasses to point away from north.,True
Touching a frog will give you warts.,False
Our sun will eventually become a red giant star.,True
Swallowed gum stays in the stomach for seven years.,False
All penguins live in the Southern Hemisphere.,True
Eating at night directly causes weight gain.,False
Spiders have eight legs.,True
Experts warn that eating bananas daily causes allergies.,False
The formula for water is H2O.,True
Snakes are reptiles and cannot blink because they do not have eyelids.,True
You can see Russia from parts of Alaska on a clear day.,True
Dark matter has never been directly detected by scientists.,True
"Goldfish do not actually have a three-second memory, they can recall information.",True
Research indicates that typing on glass keyboards leads to carpal tunnel.,False
Bananas grow underground like potatoes.,False
Analysis finds that holding your breath for 5 minutes increases IQ.,False
The moon orbits the Earth approximately every 27 days.,True
Owning a cat is linked to having multiple personalities.,False
Scientists claim that electric cars increase air pollution.,False
The core of the Earth is as hot as the surface of the Sun.,True
"The Sahara Desert is a temperate grassland, not a sandy desert.",False
Experts warn that using fluorescent lights at night causes insomnia.,False
Barcodes were used in stores before the microwave oven was invented.,True
Mercury is the only metal that is liquid at room temperature.,True
Gold is more expensive than diamonds per ounce.,False
Research indicates that drinking coffee stunts growth.,False
Goldfish memories last longer than a few seconds.,True
Wearing hats has no effect on hair loss.,True
People spend about one-third of their lives sleeping.,True
Plate tectonics causes earthquakes and mountains.,True
Venus has a longer day (rotation period) than year (orbital period).,True
Experts warn that walking backwards burns more calories.,False
Studies prove that listening to classical music causes hearing loss.,False
The invention of the printing press preceded electricity.,True
Noise travels faster in warmer air than cooler air.,True
Research indicates that consuming artificial sweeteners causes liver disease.,False
Venus orbits the Sun slower than Mercury.,True
Mount Kilimanjaro is located in South America.,False
The Earth revolves around the Sun once every year.,True
Napoleon was extremely short and only about 5 feet tall.,False
There are eight planets in our solar system.,True
Wearing sunscreen can reduce the risk of skin cancer.,True
No one lives at the North Pole year-round.,True
Light travels faster than sound.,True
The Sahara Desert is the largest hot desert on Earth.,True
Experts warn that typing on glass keyboards leads to carpal tunnel.,False
Research indicates that eating spicy food causes weight gain.,False
DNA stands for Deoxyribonucleic acid.,True
An electron is much smaller than an atom.,True
Studies prove that consuming artificial sweeteners causes liver disease.,False
Scientists claim that holding your breath for 5 minutes increases IQ.,False
Experts warn that talking to plants makes them die.,False
The Amazon River is the longest river in the world.,False
Leafcutter ants farm fungus to feed their colony.,True
The first successful heart transplant was performed by Dr. Christiaan Barnard in 1967.,True
Studies prove that wireless headphones emit harmful radiation.,False
Lightning can strike the same place more than once.,True
Analysis finds that wearing jeans causes infertility.,False
Humans have more than five senses to perceive the world.,True
Human fingernails stop growing after age 50.,False
Eggshells are porous and let moisture pass through.,True
5G radio towers do not emit viruses or disease.,True
Scientists claim that eating carrots causes diabetes.,False
Analysis finds that walking backwards burns more calories.,False
"Bananas are classified as berries, while strawberries are not.",True
Studies prove that eating spicy food causes weight gain.,False
Scientists claim that eating spicy food causes weight gain.,False
A snail can sleep for several years during dry conditions.,False
Studies prove that electric cars increase air pollution.,False
Homeopathy is scientifically proven to cure diseases.,False
The Pacific Ocean is the largest and deepest ocean on Earth.,True
Laser printers use toner powder and lasers to print.,True
"Sexual reproduction requires two sexes, but some creatures can self-fertilize.",True
All laptops must be turned off during an airplane takeoff.,False
Humans have evolved from apes over millions of years.,True
Research indicates that using fluorescent lights at night causes insomnia.,False
Research indicates that eating carrots causes diabetes.,False
A person will burn more calories sitting than standing.,False
A leap year has 366 days.,True
Analysis finds that eating bananas daily causes allergies.,False
Venus is often called Earth's 'sister planet' because of its similar size.,True
The Aurora Borealis occurs in Earth's polar regions.,True
Experts warn that listening to classical music causes hearing loss.,False
The North Star is called Polaris.,True
Scientists claim that listening to classical music causes hearing loss.,False
Analysis finds that using fluorescent lights at night causes insomnia.,False
Wearing a tinfoil hat will protect you from mind control.,False
Photosynthesis produces glucose from carbon dioxide and water.,True
The universe is approximately 13.8 billion years old.,True
Eating eight glasses of water daily is necessary.,False
Studies prove that sleeping on the floor improves memory.,False
Scientists claim that drinking coffee stunts growth.,False
Experts warn that eating carrots causes diabetes.,False
Mercury orbits faster than Earth.,True
Your brain continues to work even when you are asleep.,True
Sea otters hold hands while sleeping to stay together.,True
The human adult body has 206 bones.,True
Sound waves cannot travel in space (a vacuum).,True
Birds have hollow bones to aid in flight.,True
Incognito mode hides your browsing from everyone including your internet provider.,False
Analysis finds that drinking coffee stunts growth.,False
Experts warn that holding your breath for 5 minutes increases IQ.,False
Water boils at 212°F (100°C) at sea level.,True
Mercury is the only metal that is liquid at standard room temperature.,True
Chemical symbol for gold is Au.,True
The Earth rotates on its axis from west to east.,True
Analysis finds that electric cars increase air pollution.,False
The Great Wall of China was built to protect against invasions from the north.,True
It is possible to die from drinking too much water in a short period.,True
Research indicates that listening to classical music causes hearing loss.,False
Drinking bleach will cure viral infections.,False
Experts warn that drinking coffee stunts growth.,False
The Loch Ness monster has been proven to exist.,False
Research indicates that sleeping on the floor improves memory.,False
Scientists claim that talking to plants makes them die.,False
Exposing plants to electricity will not make them grow faster.,False
Astronauts can grow up to 2 inches taller in microgravity conditions in space.,True
Sharks have been around longer than trees have.,True
A full moon phase occurs roughly every 29.5 days.,True
Studies prove that walking backwards burns more calories.,False
Research indicates that wireless headphones emit harmful radiation.,False
Scientists claim that using fluorescent lights at night causes insomnia.,False
Photosynthesis does not occur at night because it requires sunlight.,True
Venus orbits the Sun slower than Mercury.,True
Sound cannot travel through a vacuum.,True
Eating yogurt helps restore gut bacteria after antibiotics.,True
"The speed of light in vacuum is about 300,000 kilometers per second.",True
Analysis finds that eating carrots causes diabetes.,False
Research indicates that wearing jeans causes infertility.,False
Scientists claim that wearing jeans causes infertility.,False
Scientists claim that wireless headphones emit harmful radiation.,False
There are more stars in the universe than grains of sand on Earth.,True
Mercury has no atmosphere and is extremely hot on its sunlit side.,True
Studies prove that drinking coffee stunts growth.,False
Analysis finds that talking to plants makes them die.,False
"Penguins can fly, but they choose not to.",False
Saturn's rings are composed mainly of ice particles and rock.,True
Experts warn that consuming artificial sweeteners causes liver disease.,False
"Human urine is sterile, but it should not be consumed.",True
Research indicates that walking backwards burns more calories.,False
Colors we see depend on the wavelengths of light.,True
Mercury has extreme temperatures due to lack of atmosphere.,True
The Northern and Southern lights are called the Aurora Borealis and Aurora Australis.,True
There are 12 months in a year.,True
Analysis finds that typing on glass keyboards leads to carpal tunnel.,False
The skin is the largest organ in the human body.,True
Heat does not rise because it isn't a substance; warm air rises instead.,True
Scientists claim that consuming artificial sweeteners causes liver disease.,False
Bananas contain a small amount of natural radioactivity due to potassium.,True
Studies prove that talking to plants makes them die.,False
There is no gravity on the International Space Station.,False
An octopus can regrow its limbs if they are lost.,True
Mount Everest is rising by about 4 millimeters every year.,True
Light bulbs require electricity to operate.,True
Research indicates that holding your breath for 5 minutes increases IQ.,False
Hair is made of keratin protein.,True
